Wilayah,Laju_Pertumbuhan_2019
ACEH,4.14
SUMATERA UTARA,5.22
SUMATERA BARAT,5.01
RIAU,2.81
JAMBI,4.35
SUMATERA SELATAN,5.69
BENGKULU,4.94
LAMPUNG,5.26
KEPULAUAN BANGKA BELITUNG,3.32
KEPULAUAN RIAU,4.83
DKI JAKARTA,5.82
JAWA BARAT,5.02
JAWA TENGAH,5.36
DI YOGYAKARTA,6.59
JAWA TIMUR,5.53
BANTEN,5.26
BALI,5.6
NUSA TENGGARA BARAT,3.9
NUSA TENGGARA TIMUR,5.25
KALIMANTAN BARAT,5.09
KALIMANTAN TENGAH,6.12
KALIMANTAN SELATAN,4.09
KALIMANTAN TIMUR,4.7
KALIMANTAN UTARA,6.89
SULAWESI UTARA,5.65
SULAWESI TENGAH,8.83
SULAWESI SELATAN,6.91
SULAWESI TENGGARA,6.5
GORONTALO,6.4
SULAWESI BARAT,5.56
MALUKU,5.41
MALUKU UTARA,6.25
PAPUA BARAT,2.66
PAPUA,-15.74
,NA
CATATAN,NA
PERBEDAAN ANTARA JUMLAH PDRB 34 PROVINSI DAN PDB INDONESIA ANTARA LAIN DISEBABKAN OLEH DISKREPANSI STATISTIK.DATA 2021: ANGKA SEMENTARADATA 2022: ANGKA SANGAT SEMENTARA,NA
THE DIFFERENCE BETWEEN THE TOTAL OF GRDP OF 34 PROVINCES AND THE GDP OF INDONESIA DUE TO THE STATISTICAL DISCREPANCIES.DATA 2021: PRELIMINARY FIGURESDATA 2022: VERY PRELIMINARY FIGURES,NA
