Wilayah,PengeluaranPerKapita_2024
ACEH,10811000
SUMATERA UTARA,11460000
SUMATERA BARAT,11718000
RIAU,11857000
JAMBI,11621000
SUMATERA SELATAN,12015000
BENGKULU,11733000
LAMPUNG,11258000
KEPULAUAN BANGKA BELITUNG,13667000
KEPULAUAN RIAU,15573000
DKI JAKARTA,19953000
JAWA BARAT,12157000
JAWA TENGAH,12276000
DI YOGYAKARTA,15361000
JAWA TIMUR,12852000
BANTEN,13097000
BALI,14920000
NUSA TENGGARA BARAT,11606000
NUSA TENGGARA TIMUR,8534000
KALIMANTAN BARAT,10321000
KALIMANTAN TENGAH,12303000
KALIMANTAN SELATAN,13399000
KALIMANTAN TIMUR,13793000
KALIMANTAN UTARA,10197000
SULAWESI UTARA,11998000
SULAWESI TENGAH,10536000
SULAWESI SELATAN,12275000
SULAWESI TENGGARA,10606000
GORONTALO,11539000
SULAWESI BARAT,10208000
MALUKU,9684000
MALUKU UTARA,9320000
PAPUA BARAT,8805000
PAPUA,11037000
