Wilayah,PengeluaranPerKapita_2019
ACEH,9603000
SUMATERA UTARA,10649000
SUMATERA BARAT,10925000
RIAU,11255000
JAMBI,10592000
SUMATERA SELATAN,10937000
BENGKULU,10409000
LAMPUNG,10114000
KEPULAUAN BANGKA BELITUNG,12959000
KEPULAUAN RIAU,14466000
DKI JAKARTA,18527000
JAWA BARAT,11152000
JAWA TENGAH,11102000
DI YOGYAKARTA,14394000
JAWA TIMUR,11739000
BANTEN,12267000
BALI,14146000
NUSA TENGGARA BARAT,10640000
NUSA TENGGARA TIMUR,7769000
KALIMANTAN BARAT,9055000
KALIMANTAN TENGAH,11236000
KALIMANTAN SELATAN,12253000
KALIMANTAN TIMUR,12359000
KALIMANTAN UTARA,9343000
SULAWESI UTARA,11115000
SULAWESI TENGAH,9604000
SULAWESI SELATAN,11118000
SULAWESI TENGGARA,9436000
GORONTALO,10075000
SULAWESI BARAT,9235000
MALUKU,8887000
MALUKU UTARA,8308000
PAPUA BARAT,8125000
PAPUA,7336000
